#,  0,
  1,   14.44300,
  2,    0.40200,
  3,    0.29400,
  4,    0.00000,
  5,    2.38000,
  6,    0.00100,
  7,    0.00600,
  8,    0.00000,
  9,    0.00000,
 10,    0.00000,
 11,    0.00000,
 12,    0.00000,
 13,    0.00000,
 14,    0.00000,
 15,    0.00000,
 16,    0.00000,
 17,    0.00000,
 18,    0.00000,
 19,    0.00000,
 20,    0.00000,
 21,    0.00000,
 22,    0.00100,
 23,    0.00000,
 24,    0.00000,
 25,    0.00000,
 26,    0.00000,
 27,    0.00000,
 28,    0.00000,
 29,    0.00000,
 30,    0.00300,
 31,    0.00000,
 32,    0.00000,
 33,    0.00000,
 34,    0.00100,
 35,    0.00000,
 36,    0.00000,
 37,    0.00000,
 38,    0.01500,
 39,    0.00100,
 40,    0.00100,
 41,    0.01200,
 42,   11.04701,
 43,    0.00600,
 44,    0.02700,
 45,    0.02200,
 46,    0.10000,
 47,    0.08200,
 48,    0.00700,
 49,    0.00000,
 50,    0.00000,
 51,    0.00300,
 52,    0.00000,
 53,    0.00000,
 54,    0.03100,
 55,    0.00000,
 56,    0.00000,
 57,    0.00000,
 58,    0.00000,
 59,    0.00000,
 60,    0.00000,
 61,    0.00100,
 62,    0.00000,
