00040,000_039,-2386425.000,2025435.000,-2410425.000,2001435.000,-2362425.000,2049435.000,-123.867581562436,38.0908517398482,-7,-16.80144209
00041,000_040,-2386425.000,2073435.000,-2410425.000,2049435.000,-2362425.000,2097435.000,-124.028185428417,38.5007094226118,-7,-16.89827061
00042,000_041,-2386425.000,2121435.000,-2410425.000,2097435.000,-2362425.000,2145435.000,-124.190596266216,38.910356012313,-7,-16.99618855
00043,000_042,-2386425.000,2169435.000,-2410425.000,2145435.000,-2362425.000,2193435.000,-124.354843779111,39.3198093438444,-7,-17.09521383
00044,000_043,-2386425.000,2217435.000,-2410425.000,2193435.000,-2362425.000,2241435.000,-124.520958302115,39.7290874963107,-7,-17.19536474
00045,000_044,-2386425.000,2265435.000,-2410425.000,2241435.000,-2362425.000,2289435.000,-124.688970818176,40.1382088084543,-7,-17.29665995
00046,000_045,-2386425.000,2313435.000,-2410425.000,2289435.000,-2362425.000,2337435.000,-124.858912974847,40.5471918947515,-7,-17.39911854
00047,000_046,-2386425.000,2361435.000,-2410425.000,2337435.000,-2362425.000,2385435.000,-125.030817101452,40.956055662225,-7,-17.50276002
00048,000_047,-2386425.000,2409435.000,-2410425.000,2385435.000,-2362425.000,2433435.000,-125.204716226757,41.3648193280234,-7,-17.60760428
00049,000_048,-2386425.000,2457435.000,-2410425.000,2433435.000,-2362425.000,2481435.000,-125.380644097162,41.7735024378175,-7,-17.71367168
00050,000_049,-2386425.000,2505435.000,-2410425.000,2481435.000,-2362425.000,2529435.000,-125.558635195437,42.1821248850732,-7,-17.82098301
00051,000_050,-2386425.000,2553435.000,-2410425.000,2529435.000,-2362425.000,2577435.000,-125.738724760012,42.5907069312599,-7,-17.92955951
00052,000_051,-2386425.000,2601435.000,-2410425.000,2577435.000,-2362425.000,2625435.000,-125.92094880484,42.9992692270597,-7,-18.03942289
00053,000_052,-2386425.000,2649435.000,-2410425.000,2625435.000,-2362425.000,2673435.000,-126.105344139864,43.4078328346497,-7,-18.15059535
00054,000_053,-2386425.000,2697435.000,-2410425.000,2673435.000,-2362425.000,2721435.000,-126.291948392083,43.8164192511312,-7,-18.26309957
00055,000_054,-2386425.000,2745435.000,-2410425.000,2721435.000,-2362425.000,2769435.000,-126.48080002726,44.2250504331895,-7,-18.37695874
00056,000_055,-2386425.000,2793435.000,-2410425.000,2769435.000,-2362425.000,2817435.000,-126.671938372281,44.6337488230714,-7,-18.49219658
00057,000_056,-2386425.000,2841435.000,-2410425.000,2817435.000,-2362425.000,2865435.000,-126.865403638186,45.0425373759778,-7,-18.60883732
00058,000_057,-2386425.000,2889435.000,-2410425.000,2865435.000,-2362425.000,2913435.000,-127.061236943898,45.4514395889731,-7,-18.72690576
00059,000_058,-2386425.000,2937435.000,-2410425.000,2913435.000,-2362425.000,2961435.000,-127.259480340671,45.860479531526,-7,-18.84642726
00060,000_059,-2386425.000,2985435.000,-2410425.000,2961435.000,-2362425.000,3009435.000,-127.460176837274,46.2696818778008,-7,-18.96742773
00061,000_060,-2386425.000,3033435.000,-2410425.000,3009435.000,-2362425.000,3057435.000,-127.663370425947,46.6790719408339,-7,-19.08993371
00062,000_061,-2386425.000,3081435.000,-2410425.000,3057435.000,-2362425.000,3105435.000,-127.869106109139,47.0886757087377,-7,-19.21397232
